jobId,blueprintId,blueprintVersion,requirementId,domain,subdomain,importance,source,rationale,itemId,itemVersion,itemStatus,assessmentVersion,scoringVersion,reviewStatus,approvedBy
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lisniy314genwk,Conocimiento de producto y venta,"Carta, maridaje y upselling",ALTA,CONOCIMIENTOS_TECNICOS,"El mesero recomienda y vende; requiere conocimiento de producto (carta/vinos) y técnicas de sugerencia del banco revisado.",cmtv2jax60048sniyn6maf7ax,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lgsniy2xxbth9j,Operación y protocolo de servicio,Servicio en mesa,CRITICA,PROCEDIMIENTOS,"El puesto de mesero ejecuta el protocolo de servicio en mesa definido por los procedimientos estándar del restaurante; dominios cubiertos por los reactivos revisados del banco.",cmtv2jax7004asniy6r2xevyy,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lgsniy2xxbth9j,Operación y protocolo de servicio,Servicio en mesa,CRITICA,PROCEDIMIENTOS,"El puesto de mesero ejecuta el protocolo de servicio en mesa definido por los procedimientos estándar del restaurante; dominios cubiertos por los reactivos revisados del banco.",cmtv2jax8004csniyl7o1dssz,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lgsniy2xxbth9j,Operación y protocolo de servicio,Servicio en mesa,CRITICA,PROCEDIMIENTOS,"El puesto de mesero ejecuta el protocolo de servicio en mesa definido por los procedimientos estándar del restaurante; dominios cubiertos por los reactivos revisados del banco.",cmtv2jax9004esniy8mju8rsb,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5600lksniy7p6n5zcu,"Inocuidad, higiene y alergias",Manejo de alergias y organización previa,CRITICA,NORMATIVA,Seguridad del cliente: declarar y verificar alergias es requisito sanitario del servicio de alimentos.,cmtv2jaxa004gsniy8ffb9d8i,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lgsniy2xxbth9j,Operación y protocolo de servicio,Servicio en mesa,CRITICA,PROCEDIMIENTOS,"El puesto de mesero ejecuta el protocolo de servicio en mesa definido por los procedimientos estándar del restaurante; dominios cubiertos por los reactivos revisados del banco.",cmtv2jaxb004isniyqsehrk4w,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lisniy314genwk,Conocimiento de producto y venta,"Carta, maridaje y upselling",ALTA,CONOCIMIENTOS_TECNICOS,"El mesero recomienda y vende; requiere conocimiento de producto (carta/vinos) y técnicas de sugerencia del banco revisado.",cmtv2jaxc004ksniy9ck4u3ud,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lgsniy2xxbth9j,Operación y protocolo de servicio,Servicio en mesa,CRITICA,PROCEDIMIENTOS,"El puesto de mesero ejecuta el protocolo de servicio en mesa definido por los procedimientos estándar del restaurante; dominios cubiertos por los reactivos revisados del banco.",cmtv2jaxd004msniyc2o8j8dy,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5600lksniy7p6n5zcu,"Inocuidad, higiene y alergias",Manejo de alergias y organización previa,CRITICA,NORMATIVA,Seguridad del cliente: declarar y verificar alergias es requisito sanitario del servicio de alimentos.,cmtv2jaxf004osniyool15woi,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javn000gsniy8yw95idb,cmtv2jb5400lesniy6ccb9bq1,1,cmtv2jb5500lgsniy2xxbth9j,Operación y protocolo de servicio,Servicio en mesa,CRITICA,PROCEDIMIENTOS,"El puesto de mesero ejecuta el protocolo de servicio en mesa definido por los procedimientos estándar del restaurante; dominios cubiertos por los reactivos revisados del banco.",cmtv2jaxh004qsniywqo59sg8,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javo000isniywp3xkkli,cmtv2jb6e00lysniyx7e2087o,1,cmtv2jb6f00m0sniygjdzqt7h,Inocuidad e higiene alimentaria,"Temperaturas, contaminación cruzada y zona de peligro",CRITICA,NORMATIVA,"El cocinero manipula alimentos de riesgo; la inocuidad es requisito normativo (NOM-251-SSA1) cubierto por los reactivos revisados del banco.",cmtv2jaz2008asniylisixoyt,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
cmtv2javo000isniywp3xkkli,cmtv2jb6e00lysniyx7e2087o,1,cmtv2jb6f00m0sniygjdzqt7h,Inocuidad e higiene alimentaria,"Temperaturas, contaminación cruzada y zona de peligro",CRITICA,NORMATIVA,"El cocinero manipula alimentos de riesgo; la inocuidad es requisito normativo (NOM-251-SSA1) cubierto por los reactivos revisados del banco.",cmtv2jaz3008csniygdy838o1,1,ACTIVE,KA-v1,KNOWLEDGE-SCORING-1.0,ACTIVE,A-03.2-GOVERNANCE
